ID,designation_header,strain_number_header,is_type_strain_header,is_type_strain,species,genus,species_epithet,"Incubation period (in days)"
7366,88,"DSM 20449, ATCC 13345, CCM 2634, NCIB 8909, JCM 1342, BCRC 12362, CCUG 23845, CCUG 50755, CGMCC 1.1901, CIP 103038, HAMBI 1910, IAM 15187, IFO 12961, IMET 10504, KCTC 19034, KCTC 3391, LMG 17311, NBRC 12961, NCIMB 8909, NRRL B-1824, VKM Ac-2083",1,1,"Microbacterium terregens",Microbacterium,terregens,"10-14 days"
7367,Rp-3,"DSM 20166, ATCC 15829, CCM 2299, NRRL B-24232, CCUG 23849, LMG 16344, CIP 104324, IAM 1561, JCM 1353, BCRC 12120, CGMCC 1.1907, HAMBI 1889, IFO 12675, IMET 10361, KCTC 9103, KCTC 9228, NBRC 12675, NCFB 2302, NCIMB 11430, VKM Ac-1019, VKM B-1229",1,1,"Microbacterium testaceum",Microbacterium,testaceum,"10-14 days"
7408,"No. 10","DSM 12511, IFO 16060, NBRC 16060, NRRL B-24222, JCM 12079, CIP 105728, IAM 15194, LMG 22183, NCIMB 13604, VKM Ac-2084",1,1,"Microbacterium thalassium",Microbacterium,thalassium,"10-14 days"
7398,114-2,"DSM 8608, ATCC 51475, CCM 4373, CIP 103817, IFO 15077, JCM 1358, NBRC 15077, NRRL B-24212, IAM 15206, LMG 16696, VKM Ac-1948",1,1,"Microbacterium trichothecenolyticum",Microbacterium,trichothecenolyticum,"10-14 days"
7426,S3-E,"DSM 16914, KCTC 19079, JCM 13591, CIP 108944, IAM 15299, LMG 23366, NCIMB 14334",1,1,"Microbacterium xylanilyticum",Microbacterium,xylanilyticum,"10-14 days"
133404,HSF11,"KCTC 52363, MCCC 1K03192",1,1,"Microbaculum marinum",Microbaculum,marinum,"4 days"
160812,NEAU-HEGS1-5,"DSM 104648, CCTCC AA 2019030",1,1,"Microbispora fusca",Microbispora,fusca,"28 days"
16519,"FYU M-20","DSM 43839, ATCC 12950, CBS 189.57, CBS 307.61, IAM 0114, IFO 14044, IFO 3559, IMRU 3757, JCM 3006, KCC A-0006, NBRC 14044, NBRC 3559, NCIB 9560, RIA 477, RIA 763, BCRC 11622, CGMCC 4.1227, CGMCC 4.1339, CGMCC 4.5564, HUT 6622, IMET 9534, IMSNU 20075, KACC 20042, KCTC 9181, KCTC 9326, NCIMB 9560, NRRL B-2632, VKM Ac-634",1,1,"Microbispora rosea",Microbispora,rosea,"10-14 days"
140576,GHTF-23,"NBRC 112533, KCTC 52569",1,1,"Microbulbifer aestuariivivens",Microbulbifer,aestuariivivens,"2 days"
140780,CCB-MM1,"LMG 29920, JCM 31875",1,1,"Microbulbifer aggregans",Microbulbifer,aggregans,"1-5 days"
134278,ISL-39,"KCTC 12973, CCUG 54356",1,1,"Microbulbifer celer",Microbulbifer,celer,"2 days"
164328,HB161719,"JCM 32688, CGMCC 1.13584",1,1,"Microbulbifer harenosus",Microbulbifer,harenosus,"3 days"
465,IRE-31,"DSM 11525, ATCC 700072, IRE 31, CIP 105235",1,1,"Microbulbifer hydrolyticus",Microbulbifer,hydrolyticus,"7 days"
140862,Cs16b,"CECT 8799, DSM 28920",1,1,"Microbulbifer rhizosphaerae",Microbulbifer,rhizosphaerae,"3-4 days"
,,,,,,,,"5-6 days"
469,CC-LN1-12,"DSM 24146, CCM 7856, LMG 26125",1,1,"Microbulbifer taiwanensis",Microbulbifer,taiwanensis,"1-2 days"
7506,CW1,"DSM 23889, JCM 14730, KCTC 13142",1,1,"Microcella frigidaquae",Microcella,frigidaquae,"10-14 days"
7759,,"DSM 17945, KCTC 19156, YIM 56238, JCM 16951",1,1,"Micrococcus endophyticus",Micrococcus,endophyticus,"10-14 days"
7673,,"CCUG 5858, ATCC 15307, DSM 20030, ATCC 4698, CCM 169, NCIB 9278, NCTC 2665, WDCM 00111, JCM 1464, BCRC 11034, BCRC 80739, CECT 5053, CECT 51, CECT 5863, CGMCC 1.2299, CIP A270, HAMBI 1399, HAMBI 26, HUT 8101, IAM 1056, IEM M15/65, IFO 3333, IMSNU 20332, IMSNU 20354, KACC 10488, KCTC 1056, KCTC 3063, LMG 4050, NBIMCC 1439, NBRC 3333, NCCB 78001, NCFB 947, NCIMB 10474, NCIMB 9278, NRIC 1094, NRRL B-287, PCM 525, VKM Ac-2230, VKM B-1314, VKM B-1813, VTT E-93442, NCDO 947, NRRL: B-287, CCUG 5898",1,1,"Micrococcus luteus",Micrococcus,luteus,"10-14 days"
,,,,,,,,"2 days"
7760,,"DSM 21948, CCTCC AA 208060, JCM 16547, YIM 65004, CCUG 59864",1,1,"Micrococcus yunnanensis",Micrococcus,yunnanensis,"10-14 days"
132512,7515T-26,"DSM 27139, KACC 17306",1,1,"Microlunatus aerolatus",Microlunatus,aerolatus,"3 days"
12612,AA-1042,"DSM 11053, IFO 16127, NBRC 16127, JCM 11651, IMSNU 22078, KACC 14501, KCTC 9822",1,1,"Microlunatus antarcticus",Microlunatus,antarcticus,"10-14 days"
12628,,"DSM 18424, CCTCC AB 206067, JCM 16548, YIM 45721",1,1,"Microlunatus aurantiacus",Microlunatus,aurantiacus,"10-14 days"
12613,"J47, Ben-108","DSM 12936, ACM 5120, JCM 13522, CCUG 43143, Ben 108, CIP 107259, KACC 14261",1,1,"Microlunatus capsulatus",Microlunatus,capsulatus,"10-14 days"
23201,,"DSM 26248, JCM 18536, YIM C01117",1,1,"Microlunatus cavernae",Microlunatus,cavernae,"8-14 days"
132342,S3Af-1,"DSM 100019, CGMCC 4.7306, JCM 31774",1,1,"Microlunatus endophyticus",Microlunatus,endophyticus,"5 days"
12626,,"DSM 17942, CIP 109594, KCTC 13940, Gsoil 633, JCM 16929, JCM 15306",1,1,"Microlunatus ginsengisoli",Microlunatus,ginsengisoli,"10-14 days"
132580,4Q3S-3,"DSM 100723, CGMCC 4.7307",1,1,"Microlunatus kandeliicorticis",Microlunatus,kandeliicorticis,"7 days"
12614,"EL-17A, EL-17AT","DSM 11465, ATCC BAA-165, NCFB 3066, JCM 11951, CIP 106992, KACC 15021, NCIMB 703066",1,1,"Microlunatus lacustris",Microlunatus,lacustris,"10-14 days"
12616,"FA2, M2_8","DSM 21742, NBRC 104964, KY 13138",1,1,"Microlunatus lucidus",Microlunatus,lucidus,"10-14 days"
132612,,"DSM 29529, KCTC 29689, NBRC 110715, CPCC 203993",1,1,"Microlunatus nigridraconis",Microlunatus,nigridraconis,"5 days"
12618,"FB1, O4_4","DSM 21744, NBRC 104966, KY 13159",1,1,"Microlunatus okinawensis",Microlunatus,okinawensis,"10-14 days"
12630,12-Be-011,"CCUG 57425, DSM 22083, CCM 7636, JCM 18708",1,1,"Microlunatus parietis",Microlunatus,parietis,"10-14 days"
12625,NM-1,"DSM 10555, JCM 9379, ATCC 700054, CIP 104466, FERM P-9771, HAMBI 2303, KCTC 9798, LMG 18116, NBRC 101784, NCIMB 13414, VKM Ac-1990",1,1,"Microlunatus phosphovorus",Microlunatus,phosphovorus,"10-14 days"
12629,"CC-012602, CC-12602","DSM 21800, CCM 7685, CCUG 58049, JCM 18709",1,1,"Microlunatus soli",Microlunatus,soli,"10-14 days"
,,,,,,,,"3 days"
7965,,"DSM 43813, ATCC 27029, CBS 129.76, IFO 16155, IMET 8216, INA 9442, JCM 10878, KCC A-0232, NBRC 16155, NRRL B-16091, BCRC 12538, CECT 3289, CGMCC 4.2103, CGMCC 4.5705, IFO 16125, MTCC 1047, NBRC 16125, VKM Ac-1936, IFO 14068, JCM 3232, VKM Ac-613, NBRC 14068",1,1,"Micromonospora aurantiaca",Micromonospora,aurantiaca,"10-14 days"
7983,TT1-11,"DSM 44815, JCM 12357, PCU 239, CGMCC 4.5704, CIP 108632, NBRC 101913, TISTR 1532",1,1,"Micromonospora auratinigra",Micromonospora,auratinigra,"10-14 days"
7885,1464-217L,"DSM 43026, ATCC 12452, CBS 269.62, IAM 14285, IFO 13503, JCM 3031, KCC A-0031, NBRC 13503, BCRC 11623, CECT 3195, CGMCC 4.1050, CGMCC 4.2101, HUT 6588, IFM 1108, IFO 12135, IMET 8209, IMSNU 20083, KCTC 9070, MTCC 329, NBRC 12135, NCIMB 12879, NRRL B-2344, VKM Ac-822",1,1,"Micromonospora chalcea",Micromonospora,chalcea,"10-14 days"
7981,,"DSM 44151, ATCC 53710, JCM 9459, IFO 15963, IMSNU 22023, NBRC 15963",1,1,"Micromonospora chersina",Micromonospora,chersina,"10-14 days"
7989,71-97,"DSM 43903, ATCC 35571, CIP 108947, IFO 14025, JCM 3256, KCC A-0256, NBRC 14025, NRRL B-16101, BCRC 12535, CGMCC 4.1269, IMSNU 21289, KCTC 9367",1,1,"Micromonospora citrea",Micromonospora,citrea,"10-14 days"
7889,36,"DSM 43143, ATCC 27008, IFO 13504, KCC A-0175, NBRC 13504, JCM 3175, CBS 875.71, IFM 1280, IMET 8210, IMSNU 20084, KCTC 9368, NCIMB 12665, RIA 1560, VKM Ac-661",1,1,"Micromonospora coerulea",Micromonospora,coerulea,"10-14 days"
7982,LK2-10,"DSM 44814, JCM 12345, PCU 238, TISTR 1531, CIP 108667, NBRC 101912, NRRL B-24761",1,1,"Micromonospora eburnea",Micromonospora,eburnea,"10-14 days"
7990,65-m50,"DSM 43904, ATCC 35572, CIP 108948, IFO 14022, JCM 3257, KCC A-0257, NBRC 14022, NRRL B-16102, BCRC 13324, CGMCC 4.1254, IMSNU 21290",1,1,"Micromonospora echinaurantiaca",Micromonospora,echinaurantiaca,"10-14 days"
7991,71-m68,"DSM 43913, CIP 108946, IFO 14267, JCM 3327, KCC A-0327, NBRC 14267, BCRC 12630, CGMCC 4.1274, IMSNU 21291, KCTC 9548, NRRL B-16695",1,1,"Micromonospora echinofusca",Micromonospora,echinofusca,"10-14 days"
7972,,"DSM 43816, ATCC 15837, CBS 619.66, IFO 12574, IMET 8211, JCM 3073, NBRC 12574, NRRL 2985, RIA S-420, BCRC 11626, CBS 645.71, CGMCC 4.2102, CGMCC 4.5706, IFO 13149, IMSNU 21292, IMSNU 22043, KCTC 9213, NBRC 13149, NCIMB 12744, VKM Ac-669",1,1,"Micromonospora echinospora",Micromonospora,echinospora,"10-14 days"
7984,AA-459,"DSM 44398, CIP 108382, IFAM AA-459, JCM 12677, NBRC 101889, NRRL B-24248",1,1,"Micromonospora endolithica",Micromonospora,endolithica,"10-14 days"
7992,71-m11,"DSM 43906, ATCC 35574, CIP 108952, JCM 3259, KCC A-0259, NRRL B-16104, IFO 14026, IMSNU 21296, NBRC 14026",1,1,"Micromonospora fulviviridis",Micromonospora,fulviviridis,"10-14 days"
158643,WPS1-2,"KCTC 39787, NBRC 112325, TISTR 2405, JCM 32902",1,1,"Micromonospora globbae",Micromonospora,globbae,"14 days"
7964,,"DSM 43171, ATCC 27596, JCM 3125, KCC A-0125, NRRL 2998, BCRC 11658, CBS 336.76, CECT 3293, CGMCC 4.1078, CGMCC 4.1490, IFM 1276, IFO 14112, KCTC 9551, NBRC 14112, NCIMB 2223",1,1,"Micromonospora halophytica",Micromonospora,halophytica,"10-14 days"
7974,MK-41,"DSM 43819, ATCC 21773, JCM 6239, NRRL B-16095, CECT 3294, IMSNU 22025, MTCC 330, NBRC 101909, NCIMB 12751",1,1,"Micromonospora inositola",Micromonospora,inositola,"10-14 days"
7993,INA,"DSM 46123, ATCC 27600, CIP 108951, IFO 13156, IMET 8306, JCM 3188, KCC A-0188, NBRC 13156, NRRL 3292, BCRC 13363, CECT 3295, HUT 6602, IMSNU 22033, KACC 20104, KCTC 1055, NCIMB 12731",1,1,"Micromonospora inyonensis",Micromonospora,inyonensis,"10-14 days"
8005,,"DSM 44874, LMG 24055, NRRL B-24771, Lupac 14N, JCM 16031, NBRC 106141",1,1,"Micromonospora lupini",Micromonospora,lupini,"10-14 days"
7985,,"DSM 44830, LMG 22229, NBRC 101890, NRRL B-24769, WA 201, JCM 13240, CIP 108755",1,1,"Micromonospora mirobrigensis",Micromonospora,mirobrigensis,"10-14 days"
7977,"MK-70 (FERM-P 1560)","DSM 43868, ATCC 21819, FERM P-1560, IFO 14304, IMET 8310, JCM 7348, NBRC 14304, CECT 3296, HUT 6590, IMSNU 20086, KACC 20103, KCTC 1052, NCIMB 12659, NRRL 8178, VKM Ac-1317",1,1,"Micromonospora olivasterospora",Micromonospora,olivasterospora,"10-14 days"
7973,,"DSM 43817, ATCC 15838, CBS 617.66, IFO 14110, JCM 3133, KCC A-0133, NBRC 14110, NRRL 2996, CBS 647.71, IFO 16070, IMSNU 21294, IMSNU 22141, KCTC 1051, MTCC 708, NBRC 16070, NCIMB 12660",1,1,"Micromonospora pallida",Micromonospora,pallida,"10-14 days"
8015,,"DSM 45175, LMG 24546, GUI 15, JCM 17025",1,1,"Micromonospora pisi",Micromonospora,pisi,"10-14 days"
7976,,"DSM 43821, ATCC 27007, CBS 326.71, IFO 13324, IMET 8213, IMRU 3343, JCM 3156, NBRC 13324, NRRL B-16094, CECT 3297, IFM 1279, KCTC 9369, MTCC 331, NCIMB 12661, NRRL B-2101, VKM Ac-937",1,1,"Micromonospora purpureochromogenes",Micromonospora,purpureochromogenes,"10-14 days"
8017,211018,"DSM 45431, CGMCC 4.5599, NBRC 110451, JCM 17737",1,1,"Micromonospora rhizosphaerae",Micromonospora,rhizosphaerae,"10-14 days"
8010,AM105,"DSM 44983, CGMCC 4.2495, JCM 15474",1,1,"Micromonospora rifamycinica",Micromonospora,rifamycinica,"10-14 days"
7893,,"DSM 803, ATCC 29337, JCM 3159, NRRL 3718, ATCC 55708, BCRC 12625, HUT 6589, IFM 1288, IFO 13697, IMSNU 21301, IMSNU 22070, KCTC 9553, MTCC 1052, NBRC 13697, NCIMB 12896",1,1,"Micromonospora rosaria",Micromonospora,rosaria,"10-14 days"
7995,MK-65,"DSM 43912, ATCC 21826, CIP 108950, DSM 44886, JCM 3310, KCC A-0310, NBRC 101888, NRRL 11334, KACC 20106, KCTC 9215",1,1,"Micromonospora sagamiensis",Micromonospora,sagamiensis,"10-14 days"
8031,"MS 426","DSM 45558, CGMCC 4.3550, JCM 15670, NBRC 107745",1,1,"Micromonospora sediminimaris",Micromonospora,sediminimaris,"10-14 days"
23121,274745,"DSM 45704, CCTCC AA 2012003, JCM 31037",1,1,"Micromonospora sonneratiae",Micromonospora,sonneratiae,"3-7 days"
8008,TVU1,"DSM 45142, JCM 18297, NRRL B-24576",1,1,"Micromonospora tulbaghiae",Micromonospora,tulbaghiae,"10-14 days"
7996,"FD 23988","DSM 43909, ATCC 31146, CIP 108949, JCM 3267, KCC A-0267, NBRC 101887, BCRC 13409",1,1,"Micromonospora viridifaciens",Micromonospora,viridifaciens,"10-14 days"
13414,P101,"DSM 43017, ATCC 15386, CBS 484.63, DSM 43018, DSM 43754, IFO 12207, KCC A-0036, NBRC 12207, NCIB 9602, NRRL B-3044, CCUG 5913, JCM 3036, BCRC 13426, CGMCC 4.1089, CGMCC 4.1324, CGMCC 4.1483, IFM 1235, IMET 9550, KACC 20054, KCTC 9115, KCTC 9150, KCTC 9480, MTCC 320, NBIMCC 3641, NCIMB 9602, VKM Ac-681, VTT E-073030",1,1,"Saccharomonospora viridis",Saccharomonospora,viridis,"10-14 days"
12632,Lg2,"DSM 15918, JCM 10248, NBRC 105859",1,1,"Micropruina glycogenica",Micropruina,glycogenica,"10-14 days"
7500,SSWW-21,"DSM 18319, JCM 30550, KCTC 19185, SSWW 21",1,1,"Microterricola gilva",Microterricola,gilva,"10-14 days"
16533,T/457,"DSM 43841, ATCC 23058, CBS 623.67, IFO 13915, IMET 9531, JCM 3183, NBRC 13915, RIA 924, BCRC 13405, IMSNU 20091, KCTC 9271, NRRL B-3628, VKM Ac-662",1,1,"Microtetraspora fusca",Microtetraspora,fusca,"10-14 days"
16532,Mt-3,"DSM 43174, ATCC 27301, IFO 15239, JCM 3149, KCC A-0149, NBRC 15239, BCRC 12583, CBS 264.72, IMSNU 20093, KCTC 9276",1,1,"Microtetraspora niveoalba",Microtetraspora,niveoalba,"10-14 days"
166372,3D203,"CGMCC 1.17691, KCTC 72653",1,1,"Microvirga arsenatis",Microvirga,arsenatis,"3 days"
133322,R491,"KEMB 9005-408, KACC 18969, NBRC 112417",1,1,"Microvirga soli",Microvirga,soli,"4 days"
10626,J81,"DSM 44463, CIP 109234, NRRL B-24424, JCM 13999, BCRC 16840, IFM 10694, NBRC 105863",1,1,"Millisia brevis",Millisia,brevis,"10-14 days"
159812,SY3-15,"MCCC 1K03467, KCTC 62335",1,1,"Minwuia thermotolerans",Minwuia,thermotolerans,"3 days"
166379,HWN-4,"LMG 28685, KTCC 42483",1,1,"Roseateles chitinivorans",Roseateles,chitinivorans,"2 days"
158764,HZ7,"JCM 31671, CCTCC AB 2014353",1,1,"Roseateles noduli",Roseateles,noduli,"2 days"
208,BV345-16,"DSM 23059, ATCC 35241, CCUG 21018, NCTC 11656",1,1,"Mobiluncus curtisii",Mobiluncus,curtisii,"4-8 days"
,,,,,,,,"5 days"
209,"BV376-6, Spiegel BV376-6","DSM 21655, ATCC 35242, CCUG 17762, LMG 7786, NCTC 11657",1,1,"Mobiluncus holmesii",Mobiluncus,holmesii,"3-7 days"
,,,,,,,,"5 days"
206,"SV 175, SV 17J","DSM 25311, ATCC 35243, CCUG 17763, CCUG 20071, LMG 7787, NCTC 11658",1,1,"Mobiluncus mulieris",Mobiluncus,mulieris,"3-7 days"
,,,,,,,,"5 days"
5831,CP153-2,"DSM 16678, ATCC BAA-1040, CIP 109814, JCM 15578, CGMCC 1.10729",1,1,"Modestobacter versicolor",Modestobacter,versicolor,"10-14 days"
4983,2896-78,"DSM 5076, ATCC 35017, CCUG 51928, NCTC 12132, LMG 10145, JCM 5895, CDC 2896-78, CIP 103034",1,1,"Moellerella wisconsensis",Moellerella,wisconsensis,"1 day"
135033,HM-7,"CIP 107383, JCM 11205, ATCC 700923, CCUG 47132, KCTC 15026",1,1,"Mogibacterium diversum",Mogibacterium,diversum,"2-3 days"
134503,P9a-h,"CIP 107384, JCM 11204, ATCC 700924, CCUG 47131",1,1,"Mogibacterium neglectum",Mogibacterium,neglectum,"3 days"
140420,C7,"DSM 100241, LMG 28800",1,1,"Monaibacterium marinum",Monaibacterium,marinum,"3 days"
140704,MIMtkB18,"KCTC 42635, MCCC 1K00571, DSM 109489",1,1,"Mongoliimonas terrestris",Mongoliimonas,terrestris,"5 days"
8163,88365,"DSM 14165, ATCC 700022, CCUG 35435, CIP 104716, NCTC 12925",1,1,"Moraxella boevrei",Moraxella,boevrei,"1-2 days"
8153,L-3,"DSM 6328, ATCC 10900, CDC KC745, IMET 11301, JCM 17254, CCUG 2133, NCTC 11013, LMG 986, NCDC KC 745, CIP 70.40, IAM 12313, LMG 5299, KSC 494",1,1,"Moraxella bovis",Moraxella,bovis,"1-2 days"
8161,"Ne 11, Nell","CCUG 353, NCTC 11020, LMG 11192, DSM 9143, ATCC 25238, CIP 73.21",1,1,"Moraxella catarrhalis",Moraxella,catarrhalis,"1-2 days"
8169,,"DSM 18052, ATCC 17967, CCUG 4441, CIP A182, NCTC 11011, Morax 260, JCM 20914, CDC KC784, IAM 12150, IAM 13554, LMG 5301, NBRC 102154",1,1,"Moraxella lacunata",Moraxella,lacunata,"1-2 days"
8164,,"DSM 17235, ATCC 29468, IAM 14971, ICPB 3652, CCUG 54938, JCM 21442, KCTC 32987, NBRC 102422",1,1,"Moraxella oblonga",Moraxella,oblonga,"1-2 days"
8157,"A1920, A 1920","DSM 6998, ATCC 19976, NBRC 111460, NCTC 10465, CCUG 350, LMG 5131, JCM 17842, BCRC 10705, CCM 5605, CECT 460, CIP 68.35",1,1,"Moraxella osloensis",Moraxella,osloensis,"1-2 days"
8175,SN9-4M,"DSM 25326, CCUG 54912, CECT 7294, CIP 110214",1,1,"Moraxella porci",Moraxella,porci,"1-2 days"
10513,,"DSM 24335, ATCC 33486, CIP 81.93, NCTC 11393, UQM 858",1,1,"Morococcus cerebrosus",Morococcus,cerebrosus,"1-2 days"
6373,,"DSM 19659, CCUG 52648, CIP 109174, AIP 220.04",1,1,"Moryella indoligenes",Moryella,indoligenes,"4 days"
164622,K478,"JCM 33652, CGMCC 1.17229",1,1,"Motilibacter aurantiacus",Motilibacter,aurantiacus,"4 days"
164621,E257,"JCM 33651, CGMCC 1.17159",1,1,"Motilibacter deserti",Motilibacter,deserti,"4 days"
133346,YH6,"KCTC 42594, MCCC 1H00122",1,1,"Motilimonas eburnea",Motilimonas,eburnea,"3 days"
158597,TAPP7,"BCRC 80976, LMG 29556, KCTC 52238",1,1,"Mucilaginibacter amnicola",Mucilaginibacter,amnicola,"2 days"
133251,S14-88,"CCTCC AB 2015321, KCTC 52232",1,1,"Mucilaginibacter antarcticus",Mucilaginibacter,antarcticus,"5 days"
156602,,"CCUG 63418, KCTC 32214",1,1,"Mucilaginibacter calamicampi",Mucilaginibacter,calamicampi,"2 days"
140863,PR0008K,"KACC 17938, NBRC 111539",1,1,"Mucilaginibacter carri",Mucilaginibacter,carri,"7 days"
166131,MAH-19,"KACC 19745, CGMCC 1.13657",1,1,"Mucilaginibacter corticis",Mucilaginibacter,corticis,"2 days"
156203,DR-f4,"CCUG 60717, KCTC 23359, JCM 16601, KACC 14556, KACC {14556, UCCCB33",1,1,"Mucilaginibacter dorajii",Mucilaginibacter,dorajii,"2 days"
133196,TTM-2,"BCRC 80785, LMG 28455, KCTC 42274",1,1,"Mucilaginibacter fluminis",Mucilaginibacter,fluminis,"2 days"
140568,PP-F2F-G47,"CCM 8711, CIP 111182, LMG 29767, DSM 103633",1,1,"Mucilaginibacter galii",Mucilaginibacter,galii,"3 days"
166292,F01003,"KCTC 62991, CCTCC AB 2019023",1,1,"Mucilaginibacter gilvus",Mucilaginibacter,gilvus,"2 days"
131323,SA3-7,"DSM 29289, CECT 8628, KCTC 32515, JCM 32202",1,1,"Mucilaginibacter gotjawali",Mucilaginibacter,gotjawali,"3-7 days"
166098,ZR32,"KCTC 62193, CCTCC AB 2017285",1,1,"Mucilaginibacter hurinus",Mucilaginibacter,hurinus,"3 days"
133750,BR-18,"KCTC 23697, CCUG 61484",1,1,"Mucilaginibacter litoreus",Mucilaginibacter,litoreus,"1 day"
133691,BR-3,"KCTC 23461, CCUG 60742",1,1,"Mucilaginibacter lutimaris",Mucilaginibacter,lutimaris,"2 days"
158582,BXN5-31,"KACC 14957, JCM 17085",1,1,"Mucilaginibacter panaciglaebae",Mucilaginibacter,panaciglaebae,"2 days"
133142,TBZ30,"KCTC 42833, CCTCC AB 2015301",1,1,"Mucilaginibacter pedocola",Mucilaginibacter,pedocola,"2 days"
133144,PP-F2F-G21,"DSM 100995, CCM 8625, CIP 110921, LMG 29118",1,1,"Mucilaginibacter phyllosphaerae",Mucilaginibacter,phyllosphaerae,"3 days"
140514,,"KCTC 12641, LMG 23495, Gsoil 032",1,1,"Mucilaginibacter pocheonensis",Mucilaginibacter,pocheonensis,"2 days"
133195,"WS 71","KCTC 32270, JCM 19495",1,1,"Mucilaginibacter puniceus",Mucilaginibacter,puniceus,"3 days"
140897,TTM-1,"LMG 28454, KCTC 42273",1,1,"Mucilaginibacter roseus",Mucilaginibacter,roseus,"2 days"
140679,EF23,"CGMCC 1.15913, KCTC 52516",1,1,"Mucilaginibacter rubeus",Mucilaginibacter,rubeus,"2 days"
133911,SMS-12,"KCTC 32111, CCUG 62214",1,1,"Mucilaginibacter sabulilitoris",Mucilaginibacter,sabulilitoris,"2 days"
130659,M3,"DSM 27344, ATCC BAA-2553",1,1,"Mucinivorans hirudinis",Mucinivorans,hirudinis,"2-3 days"
18084,,"DSM 23919, ATCC BAA-1631, CCUG 55976, WAL 1855C",1,1,"Murdochiella asaccharolytica",Murdochiella,asaccharolytica,"4 days"
131536,YL27,"DSM 28989, KCTC 15537",1,1,"Muribaculum intestinale",Muribaculum,intestinale,"3-7 days"
166220,GCL-11,"MCCC 1A11649, KCTC 52432",1,1,"Muricauda amoyensis",Muricauda,amoyensis,"2 days"
166844,HME9304,"KCTC 32464, KACC 17618, CECT 8418, HME 9304",1,1,"Flagellimonas maritima",Flagellimonas,maritima,"3 days"
133724,BB-My12,"KCTC 23501, CCUG 60800",1,1,"Muricauda beolgyonensis",Muricauda,beolgyonensis,"1-2 days"
158733,3PC125-7,"MCCC 1A03198, KCTC 52318",1,1,"Muricauda indica",Muricauda,indica,"3 days"
133397,CSW06,"CGMCC 1.15761, JCM 31455, KCTC 52375, MCCC 1K03195",1,1,"Croceivirga lutea",Croceivirga,lutea,"1 day"
134341,SMK-108,"KCTC 22173, CCUG 55324",1,1,"Muricauda lutimaris",Muricauda,lutimaris,"2 days"
140527,H19-56,"KCTC 52374, MCCC 1K03196, JCM 31456, CGMCC 1.15774",1,1,"Muricauda marina",Muricauda,marina,"3 days"
166526,SM1704,"KCTC 62797, MCCC 1K03557",1,1,"Muricauda nanhaiensis",Muricauda,nanhaiensis,"2 days"
131529,2-PG-424-CC-1,"DSM 29489, KCTC 15545",1,1,"Muricomes intestini",Muricomes,intestini,"2-3 days"
130360,SRB-530-5-H,"DSM 26524, CCUG 63391, SRB 530",1,1,"Murimonas intestini",Murimonas,intestini,"2 days"
11264,14-Be-013,"DSM 45312, CCM 7612, CCUG 57390, JCM 17973, CIP 110198",1,1,"Murinocardiopsis flavida",Murinocardiopsis,flavida,"3-7 days"
12590,XJEEM-11063,"DSM 21949, CCTCC AA 208063, JCM 19555, XJEEM 11063, CCTCC AB 208063",1,1,"Myceligenerans halotolerans",Myceligenerans,halotolerans,"10-14 days"
12588,XLG910.2,"DSM 15700, CGMCC 1.3458, JCM 14112, NBRC 106321",1,1,"Myceligenerans xiligouense",Myceligenerans,xiligouense,"10-14 days"
7468,CM-10,"DSM 15177, IFO 16278, NBRC 16278, NRRL B-24121, JCM 11654, CGMCC 1.10732, IAM 15091, LMG 22187, MAFF 211326",1,1,"Mycetocola lacteus",Mycetocola,lacteus,"10-14 days"
7471,"BRB-1L41, R-20377","DSM 18580, JCM 30549, LMG 22367",1,1,"Mycetocola reblochoni",Mycetocola,reblochoni,"10-14 days"
7469,CM-01,"DSM 15178, IFO 16274, NBRC 16274, NRRL B-24119, JCM 11655, CGMCC 1.10735, IAM 15092, LMG 22188, MAFF 211324",1,1,"Mycetocola saprophilus",Mycetocola,saprophilus,"10-14 days"
7470,CM-05,"DSM 15179, IFO 16277, NBRC 16277, NRRL B-24120",1,1,"Mycetocola tolaasinivorans",Mycetocola,tolaasinivorans,"10-14 days"
1977,HK10456-B5,"DSM 19003, CIP 109454, HKI 456",1,1,"Mycetohabitans endofungorum",Mycetohabitans,endofungorum,"3-7 days"
1976,,"DSM 19002, CIP 109453, HKI 454",1,1,"Mycetohabitans rhizoxinica",Mycetohabitans,rhizoxinica,"3-7 days"
8416,"L948, 14 042 0023","DSM 44196, ATCC 19977, CCUG 20993, CIP 104536, JCM 13569, NCTC 13031, TMC 1543, Hauduroy L948, CCUG 27982, DSM 43491",1,1,"Mycobacterium abscessus",Mycobacterium,abscessus,"10-14 days"
8547,BD,"DSM 45149, CCUG 50184, CIP 108541, JCM 15297, BCRC 16915",1,1,"Mycobacterium abscessus subsp. bolletii",Mycobacterium,abscessus,"2-3 days"
8546,,"DSM 45103, CCUG 48898, CIP 108297, KCTC 19086, JCM 15300, Timone LB, BCRC 16916",1,1,"Mycobacterium abscessus subsp. massiliense",Mycobacterium,abscessus,"2-3 days"
8464,90012,"CCUG 37673 B, KCTC 9502, DSM 44515, ATCC 27406, CCUG 37673, CIP 105391, JCM 6377, CCUG 37673 A",1,1,"Mycobacterium agri",Mycobacterium,agri,"10-14 days"
