ID,designation_header,strain_number_header,is_type_strain_header,is_type_strain,species,genus,"Kind of pH","Testresult (pH)",pH
140597,P3150,"LMG 29435, CCM 8643",1,1,"Hymenobacter lapidarius",Hymenobacter,growth,positive,7.0-9.0
164559,KIGAM108,"JCM 33444, KCTC 72263",1,1,"Hymenobacter lutimineralis",Hymenobacter,growth,positive,6.0-10.0
140836,KJ035,"KCTC 42854, CECT 9069",1,1,"Hymenobacter marinus",Hymenobacter,growth,positive,7-8
164337,9PBR-2,"JCM 32699, GDMCC 1.1492",1,1,"Hymenobacter metallilatus",Hymenobacter,growth,positive,6.5-7.5
140922,XF-6R,"KCTC 42733, CCTCC AB 2015206",1,1,"Hymenobacter monticola",Hymenobacter,growth,positive,6-8
133201,P3,"DSM 101755, NBRC 111535",1,1,"Hymenobacter nivis",Hymenobacter,growth,positive,5.3-7.8
140680,LYH-12,"BCRC 80919, LMG 29171, KCTC 42898",1,1,"Hymenobacter pallidus",Hymenobacter,growth,positive,6.5-7.5
140889,KBP-30,"LMG 27293, KCTC 32237, KCTC 52533",1,1,"Hymenobacter paludis",Hymenobacter,growth,positive,6-8
159862,S12-2-1,"KCTC 52730, JCM 32198",1,1,"Hymenobacter pedocola",Hymenobacter,growth,positive,7.0-10.0
158732,M2,"CCTCC AB 2017185, KCTC 62120",1,1,"Hymenobacter profundi",Hymenobacter,growth,positive,6-9
3804,Tibet-IIU11,"DSM 18569, CGMCC 1.6365",1,1,"Hymenobacter psychrotolerans",Hymenobacter,growth,positive,05-10
158705,TAPP3,"BCRC 80979, LMG 29559, KCTC 52236",1,1,"Hymenobacter rivuli",Hymenobacter,growth,positive,6.5-7.5
158615,NY03-3-30,"CCTCC AB 2017095, KCTC 62163, CCM 8852",1,1,"Hymenobacter rubripertinctus",Hymenobacter,growth,positive,6-9
159745,S1-2-2-6,"KCTC 52736, JCM 32196",1,1,"Hymenobacter rufus",Hymenobacter,growth,positive,6-8
166359,BT18,"KCTC 62610, NBRC 114380",1,1,"Hymenobacter russus",Hymenobacter,growth,positive,6-8
133390,K2-33028,"CCTCC AB 2016091, KCTC 52447",1,1,"Hymenobacter rutilus",Hymenobacter,growth,positive,6.0-8.0
134031,GSR0100,"KACC 16452, JCM 17923",1,1,"Hymenobacter saemangeumensis",Hymenobacter,growth,positive,5.5-10.0
133364,16F7G,"KCTC 52197, JCM 31655",1,1,"Hymenobacter seoulensis",Hymenobacter,growth,positive,4
,,,,,,,growth,positive,4-7
,,,,,,,growth,positive,5
140561,POB6,"KCTC 52271, JCM 31659",1,1,"Hymenobacter tenuis",Hymenobacter,growth,positive,6-10
134255,X2-1g,"CCTCC AB 206080, IAM 15452, JCM 23206, BCRC 80947, CIP 109772",1,1,"Hymenobacter xinjiangensis",Hymenobacter,growth,positive,5.0-7.0
159821,2ED5,"CGMCC 1.16466, JCM 32612",1,1,"Hyphobacterium indicum",Hyphobacterium,growth,positive,5-8
140468,WM6,"MCCC 1K03222, KCTC 52487",1,1,"Hyphobacterium vulgare",Hyphobacterium,growth,positive,6.5-9.0
140765,HSF6,"MCCC 1K03223, KCTC 52486, DSM 109355",1,1,"Hyphococcus flavus",Hyphococcus,growth,positive,5-9.5
133956,NL23,"ATCC BAA-2476, LMG 27277",1,1,"Hyphomicrobium nitrativorans",Hyphomicrobium,growth,positive,7.0-9.5
168571,T58,"KCTC 72081, MCCC 1H00359",1,1,"Hyunsoonleella flava",Hyunsoonleella,growth,positive,6.5-9.0
5739,CNU-004,"DSM 21035, KCTC 22242, CNU 004",1,1,"Hyunsoonleella jejuensis",Hyunsoonleella,growth,positive,5.5-9.5
133333,FA042,"KCTC 42398, MCCC 1H00110",1,1,"Hyunsoonleella rubra",Hyunsoonleella,growth,positive,6.0-8.5
17737,F12,"DSM 19957, KCTC 19879, NBRC 102561",1,1,"Iamia majanohamensis",Iamia,growth,positive,06-09
141120,KBP-31,"BCRC 80524, KCTC 32238",1,1,"Ideonella paludis",Ideonella,growth,positive,6.0-8.0
140803,201-F6,"NBRC 110686, TISTR 2288, DSM 112585",1,1,"Piscinibacter sakaiensis",Piscinibacter,growth,positive,5.5-9
6231,F23,"DSM 16139",1,1,"Idiomarina fontislapidosi",Idiomarina,growth,positive,05-10
133925,SW104,"CGMCC 1.10824, JCM 18138",1,1,"Idiomarina indica",Idiomarina,growth,positive,6.0-9.0
166504,ZQ330,"MCCC 1K03495, KCTC 62455",1,1,"Pseudidiomarina mangrovi",Pseudidiomarina,growth,positive,6.0-9.5
6232,R22,"DSM 16140",1,1,"Idiomarina ramblicola",Idiomarina,growth,positive,05-10
133294,CC-PW-9,"JCM 19757, BCRC 80745",1,1,"Idiomarina tyrosinivorans",Idiomarina,growth,positive,6.0-9.0
159851,UAE-HKU57,"CCOS 1165, NBRC 113042",1,1,"Ignatzschineria cameli",Ignatzschineria,growth,positive,7.0-9.0
17819,Mat9-16,"DSM 19864, NBRC 101810, JCM 16511",1,1,"Ignavibacterium album",Ignavibacterium,growth,positive,6.5-8
4191,"KIN4/1, KIN4/I","DSM 18386, JCM 14125",1,1,"Ignicoccus hospitalis",Ignicoccus,growth,positive,4.5-7.0
4189,,"DSM 13165, ATCC 700957, Kol 8",1,1,"Ignicoccus islandicus",Ignicoccus,growth,positive,3.8-6.5
4190,"LPC 33","DSM 13166, ATCC 700958",1,1,"Ignicoccus pacificus",Ignicoccus,growth,positive,4.5-7.0
4192,"AQ1.S1, TG 866","DSM 17230, JCM 13409",1,1,"Ignisphaera aggregans",Ignisphaera,growth,positive,5.4-7.0
133934,YM16-304,"NBRC 103263, KCTC 29153",1,1,"Ilumatobacter coccineus",Ilumatobacter,growth,positive,06-08
133933,YM16-303,"NBRC 29153, KCTC 29139",1,1,"Ilumatobacter nonamiensis",Ilumatobacter,growth,positive,06-10
2473,JA132,"DSM 18805, ATCC BAA-1362, JCM 14149, MTCC 8120",1,1,"Imhoffiella bheemlica",Imhoffiella,growth,positive,6.5-8.0
133093,TR3.2,"DSM 103040, ATCC TSD-58",1,1,"Immundisolibacter cernigliae",Immundisolibacter,growth,positive,6.5-8.0
5746,K1,"DSM 24931, JCM 17677, MTCC 11055",1,1,"Imtechella halotolerans",Imtechella,growth,positive,06-09
133554,LW1,"KCTC 22604, CCUG 57479",1,1,"Indibacter alkaliphilus",Indibacter,growth,positive,7.5-12
158434,,"DSM 105146, CGMCC 1.15812, SCSIO 08040",1,1,"Indioceanicola profundi",Indioceanicola,growth,positive,7-11
166144,CCP-18,"BCRC 81120, LMG 30595, KCTC 62511",1,1,"Inhella crocodyli",Inhella,growth,positive,5.5-9
23449,TNR-25,"DSM 27144, BCRC 80211, LMG 25721",1,1,"Inhella fonticola",Inhella,growth,positive,06-10
132414,S2479,"DSM 100275, VKM B-2962",1,1,"Inmirania thermothiophila",Inmirania,growth,positive,5.5-8.8
6246,Q5-1,"DSM 25801, CCTCC Aa 2010019, CGMCC 1.10750, KCTC 19811, NRRL B-59521, JCM 18316",1,1,"Intrasporangium chromatireducens",Intrasporangium,growth,positive,05-10
132373,,"DSM 29621, MCCC 1K00454, NBRC 110749, MUSC 78",1,1,"Intrasporangium flavum",Intrasporangium,growth,positive,6-8
6247,,"DSM 23217, CCTCC AA 209077, JCM 19548, YIM 49065",1,1,"Intrasporangium mesophilum",Intrasporangium,growth,positive,06-08
6245,KV-657,"DSM 22331, JCM 15924, NBRC 101802, NRRL B-24470, CIP 109705",1,1,"Intrasporangium oryzae",Intrasporangium,growth,positive,05-11
133277,C-3,"JCM 17843, LMG 28660",1,1,"Iodidimonas muriae",Iodidimonas,growth,positive,4.5-8.5
130823,M4-16,"DSM 100243, CIP 110311, MTCC 11351, CCUG 62945, CIP 1103011",1,1,"Iodobacter arcticus",Iodobacter,growth,positive,05-07
164502,H11R3,"JCM 33283, KCTC 62666",1,1,"Iodobacter ciconiae",Iodobacter,growth,positive,6-9
132145,E1,"DSM 103822, CCTCC AB 2010224, NRRL B-59456",1,1,"Iodobacter limnosediminis",Iodobacter,growth,positive,04-11
132577,AP-38,"DSM 101603, LMG 29223, CCM 8653, JCM 31758, CIP 110981",1,1,"Isoptericola cucumis",Isoptericola,growth,positive,5.5-8.0
12585,CD12E2-119,"DSM 16849, CIP 108902, HKI 0342, NBRC 104396, NCIMB 14033, JCM 15589, JCM 14325",1,1,"Isoptericola hypogeus",Isoptericola,growth,positive,06-09
6265,H2.16B,"DSM 18333, CCUG 49715, CIP 108728, JCM 14734, IAM 15369, JCM 21813, NBRC 107843, NCIMB 14557",1,1,"Janibacter anophelis",Janibacter,growth,positive,7
24109,HR08-44,"DSM 26154, NBRC 107693",1,1,"Janibacter cremeus",Janibacter,growth,positive,6.0-10.0
6263,CM2104,"CCUG 54528, CIP 108643, DSM 16063, JCM 12321, KCTC 9987, NBRC 107855",1,1,"Janibacter melonis",Janibacter,growth,positive,5.5-7
24489,GSW-M26,"DSM 28248, CCUG 60899, KCTC 23555, KCTC 23555T",1,1,"Jannaschia aquimarina",Jannaschia,growth,positive,5.5-8
158617,JSSK-16,"KACC 19436, KCTC 62137, NBRC 113018",1,1,"Jannaschia confluentis",Jannaschia,growth,positive,5
133693,CFPB-A9T,"LMG 22015, NBRC 100362",1,1,"Jannaschia cystaugens",Jannaschia,growth,positive,07-09
131163,DSW-17,"DSM 102233, JCM 14563, KCTC 12862, CECT 7802, CIP 109732",1,1,"Jannaschia donghaensis",Jannaschia,growth,positive,06-08
166522,12N15,"MCCC 1H00325, KCTC 62582",1,1,"Jannaschia formosa",Jannaschia,growth,positive,6.0-9.5
13667,H1-M8,"DSM 19073, KACC 11609",1,1,"Jannaschia pohangensis",Jannaschia,growth,positive,06-09
13668,SMK-146,"DSM 25227, CCUG 55326, KCTC 22172",1,1,"Jannaschia seohaensis",Jannaschia,growth,positive,5.5-8
132846,CL-SP26,"DSM 104837, JCM 13035, KCCM 42114, CECT 7799, CIP 109167",1,1,"Jannaschia seosinensis",Jannaschia,growth,positive,07-10
23030,S9-650,"DSM 45627, KACC 16232",1,1,"Jatrophihabitans endophyticus",Jatrophihabitans,growth,positive,05-10
132631,I13A-01604,"DSM 46866, CPCC 204076, NBRC 110718",1,1,"Jatrophihabitans huperziae",Jatrophihabitans,growth,positive,5.0-9.0
158645,N237,"KCTC 39922, NRRL B-65477",1,1,"Jatrophihabitans telluris",Jatrophihabitans,growth,positive,6-8
166138,KSNA2,"KCTC 72234, CCTCC AB 2019098",1,1,"Jejubacter calystegiae",Jejubacter,growth,positive,5.0-12.0
5728,EM39,"DSM 21165, KCTC 22298",1,1,"Jejuia pallidilutea",Jejuia,growth,positive,6.5-9
24800,Jchi,"DSM 28058, BCRC 80367, KCTC 23701",1,1,"Jeongeupia chitinilytica",Jeongeupia,growth,positive,06-08
10529,BIO-TAS4-2,"DSM 24253, CCUG 57610, KCTC 22633",1,1,"Jeongeupia naejangsanensis",Jeongeupia,growth,positive,05-08
133266,JC303,"KCTC 33662, LMG 28756",1,1,"Jeotgalibacillus alkaliphilus",Jeotgalibacillus,growth,positive,9.0-12.0
159771,22-7,"MCCC 1H00228, KCTC 33930",1,1,"Jeotgalibacillus proteolyticus",Jeotgalibacillus,growth,positive,6-9.5
1513,ASL-1,"DSM 23492, CCUG 56751, KCTC 13257, ASL -1",1,1,"Jeotgalibacillus salarius",Jeotgalibacillus,growth,positive,06-08
1514,P9,"DSM 23228, LMG 25523",1,1,"Jeotgalibacillus soli",Jeotgalibacillus,growth,positive,5.5-10.5
130206,,"DSM 22174, KCTC 13528, JSM 081008",1,1,"Jeotgalibacillus terrae",Jeotgalibacillus,growth,positive,6.0-10.5
14414,NY-2,"DSM 23851, CCTCC AB 208288, JCM 15687",1,1,"Jeotgalicoccus huakuii",Jeotgalicoccus,growth,positive,6.5-10
14413,,"DSM 19772, CCTCC AA 207028, KCTC 13189, JSM 076033",1,1,"Jeotgalicoccus marinus",Jeotgalicoccus,growth,positive,6.0-10.0
17823,,"DSM 45237, CCTCC AA 208023, JCM 16901, YIM 61503",1,1,"Jiangella alba",Jiangella,growth,positive,6.5-9
17822,D8-87,"DSM 45079, JBRI 2008, KCTC 19222, JCM 15620",1,1,"Jiangella alkaliphila",Jiangella,growth,positive,6.1-10.1
17821,,"DSM 44835, CCTCC AA 204001, KCTC 19044, YIM 002, JCM 13367, BCRC 16824, CIP 108735, NCIMB 14350",1,1,"Jiangella gansuensis",Jiangella,growth,positive,07-08
158485,NEAU-YY265,"DSM 106774, CGMCC 4.7475, JCM 32551",1,1,"Jiangella rhizosphaerae",Jiangella,growth,positive,4-10
159791,,"NBRC 113144, TBRC 7644, PLAI 1-1, JCM 32592",1,1,"Micromonospora zingiberis",Micromonospora,growth,positive,4-11
140837,JN14-9,"MCCC 1A00733, KCTC 42153",1,1,"Jiulongibacter sediminis",Jiulongibacter,growth,positive,7-8
6315,QH3A7,"DSM 15701, CGMCC 1.3459, CIP 108595, JCM 13009",1,1,"Jonesia quinghaiensis",Jonesia,growth,positive,07-09
10620,NP8-5,"DSM 45133, CIP 110031, KCTC 19360, JCM 16948",1,1,"Jongsikchunia kroppenstedtii",Jongsikchunia,growth,positive,06-09
5732,EN5,"DSM 19592, CGMCC 1.6973, KCTC 12518",1,1,"Joostella marina",Joostella,growth,positive,5.3-10.5
159825,,"JCM 31803, KACC 19096, LYH 11",1,1,"Kaistia algarum",Kaistia,growth,positive,6-9
133806,B6-12,"KCTC 23766, JCM 18034",1,1,"Kaistia defluvii",Kaistia,growth,positive,06-09
13564,Ko04,"DSM 23481, KCTC 12575, LMG 23410",1,1,"Kaistia granuli",Kaistia,growth,positive,5.0-8.0
24471,E94,"DSM 25966, CCM 8401, CIP 110381, LMG 26925",1,1,"Kaistia hirudinis",Kaistia,growth,positive,4.5-10.5
13565,5YN9-8,"DSM 19436, KACC 12605",1,1,"Kaistia soli",Kaistia,growth,positive,05-08
13566,5YN7-3,"DSM 21341, KACC 12910",1,1,"Kaistia terrae",Kaistia,growth,positive,05-08
24804,JKG1,"DSM 26889, JCM 19132",1,1,"Kallotenue papyrolyticum",Kallotenue,growth,positive,5.6-9.0
159856,XY-R6,"MCCC 1K01498, KCTC 52266, DSM 104294",1,1,"Kandeliimicrobium roseum",Kandeliimicrobium,growth,positive,5.0-9.5
397,SW-154,"DSM 16071, KCTC 12183, JCM 12318",1,1,"Kangiella aquimarina",Kangiella,growth,positive,5.5-8.0
133576,,"NRIC 0764, JCM 16211, KMM 3899",1,1,"Kangiella japonica",Kangiella,growth,positive,5.5-11
396,SW-125,"DSM 16069, KCTC 12182, JCM 12317",1,1,"Kangiella koreensis",Kangiella,growth,positive,5.5-8.0
133782,KM1,"BCRC 80329, JCM 17728",1,1,"Kangiella marina",Kangiella,growth,positive,07-09
133836,BB-Mw22,"KCTC 23892, CCUG 62217",1,1,"Kangiella sediminilitoris",Kangiella,growth,positive,5-7.5
398,A79,"DSM 23219, ATCC BAA-2076",1,1,"Kangiella spongicola",Kangiella,growth,positive,4.5-10
133783,KT1,"BCRC 80330, JCM 17727",1,1,"Kangiella taiwanensis",Kangiella,growth,positive,07-10
159863,GI5,"KCTC 52659, JCM 31835",1,1,"Ketobacter alkanivorans",Ketobacter,growth,positive,6.0-9.0
140582,K08-0175,"DSM 103925, TBRC 6786, NBRC 112388",1,1,"Kibdelosporangium kanagawaense",Kibdelosporangium,growth,positive,5.0-8.0
133307,"KC 266","KCTC 39719, CCTCC AA 2016002",1,1,"Kibdelosporangium metalli",Kibdelosporangium,growth,positive,4-8
140583,K10-0543,"NBRC 112389, TBRC 6787, DSM 103926",1,1,"Kibdelosporangium rhizosphaerae",Kibdelosporangium,growth,positive,6.0-8.0
140584,K12-0791,"DSM 103985, TBRC 6788, NBRC 112390",1,1,"Kibdelosporangium rhizovicinum",Kibdelosporangium,growth,positive,5.0-8.0
140549,soj2014,"KCTC 42186, JCM 30386",1,1,"Kiloniella antarctica",Kiloniella,growth,positive,5.5-9.5
166142,F02,"KCTC 52616, MCCC 1H00224",1,1,"Kineobactrum sediminis",Kineobactrum,growth,positive,7-9
158283,,"DSM 102158, KCTC 39739, YIM 121940",1,1,"Kineococcus aureolus",Kineococcus,growth,positive,6.0-9.0
134344,KKD096,"TISTR 1856, NRRL B-24568, BCC 26245, NBRC 103943, JCM 15972, KACC 14421",1,1,"Kineococcus gynurae",Kineococcus,growth,positive,05-09
140890,L2-1-L1,"BCC 75409, NBRC 110933",1,1,"Kineococcus mangrovi",Kineococcus,growth,positive,5-10
158284,,"DSM 102155, KCTC 39738, YIM 121936",1,1,"Kineococcus terrestris",Kineococcus,growth,positive,5.0-10.0
6319,S2-20,"DSM 22857, KCTC 19474, CCTCC AB 207179, JCM 16219, NBRC 107624, CIP 110123",1,1,"Kineococcus xinjiangensis",Kineococcus,growth,positive,06-10
6328,,"DSM 45271, CCTCC AA 208061, JCM 16902, YIM 65293",1,1,"Kineosporia mesophila",Kineosporia,growth,positive,06-08
133070,KNHs209,"DSM 100556, ATCC TSD-26",1,1,"Kineothrix alysoides",Kineothrix,growth,positive,5.5-8.0
133556,,"KCCM 90076, JCM 15607, KMD 001, DSM 21796, NCIMB 14710",1,1,"Kistimonas asteriae",Kistimonas,growth,positive,05-10
133798,A36,"KACC 16204, JCM 17805",1,1,"Kistimonas scapharcae",Kistimonas,growth,positive,06-10
14860,2291-120,"DSM 44785, HKI 0189, NCIMB 13973, JCM 13002, BCRC 16815, IAM 15268, NBRC 101834",1,1,"Kitasatospora arboriphila",Kitasatospora,growth,positive,05-08
14861,2050-015,"DSM 44786, HKI 0314, NCIMB 13974, JCM 13003, IAM 15269, NBRC 101835",1,1,"Kitasatospora gansuensis",Kitasatospora,growth,positive,5-9.5
14862,2148-013,"DSM 44787, HKI 0315, NCIMB 13975, JCM 13004, IAM 15272, NBRC 101836",1,1,"Kitasatospora nipponensis",Kitasatospora,growth,positive,05-08
14863,2292-041,"DSM 44788, HKI 0190, NCIMB 13976, JCM 13005, IAM 15270, NBRC 101837",1,1,"Kitasatospora paranensis",Kitasatospora,growth,positive,05-09
134155,VT-36,"MTCC 6546, DSM 44898, JCM 13010",1,1,"Kitasatospora sampliensis",Kitasatospora,growth,positive,07-09
14864,2293-012,"DSM 44789, HKI 0186, NCIMB 13977, JCM 13006, IAM 15271, NBRC 101838",1,1,"Kitasatospora terrestris",Kitasatospora,growth,positive,05-09
14867,52108a,"DSM 44826, AS 4.1878, JCM 14111, CGMCC 4.1878",1,1,"Kitasatospora viridis",Kitasatospora,growth,positive,04-07
23033,PB34,"DSM 45843, JCM 17785, KCTC 19880",1,1,"Klenkia soli",Klenkia,growth,positive,05-09
24062,3-wff-81,"DSM 45962, CGMCC 1.12303, NBRC 109416, JCM 31768",1,1,"Klenkia taihuensis",Klenkia,growth,positive,6.0-9.0
23034,"PB 261","DSM 45844, JCM 17786, KCTC 19881",1,1,"Klenkia terrae",Klenkia,growth,positive,05-09
7332,"44C3, C44","DSM 18031, ATCC BAA-1524, JCM 16542",1,1,"Klugiella xanthotipulae",Klugiella,growth,positive,06-11
6271,5317S-21,"DSM 18566, KACC 20583, JCM 16377, NBRC 106306",1,1,"Knoellia aerolata",Knoellia,growth,positive,5.0-9.0
6272,TL1,"DSM 25785, CGMCC 1.10749, KCTC 19810, JCM 18318",1,1,"Knoellia flava",Knoellia,growth,positive,05-09
133714,DMZ1,"KACC 15114, JCM 17313, NBRC 109775",1,1,"Knoellia locipacati",Knoellia,growth,positive,6.0-9.0
134268,3-M5-R-4,"ATCC BAA-1496, CIP 109413, JCM 15662, KCTC 39578, NCIMB 14307",1,1,"Knoellia remsis",Knoellia,growth,positive,06-09
7660,,"CCUG 55750, CCM 7384, DSM 17006, CCTCC AA 203006, CIP 107966, KCTC 19010, YIM 70003, JCM 14735, NCIMB 14352",1,1,"Kocuria aegyptia",Kocuria,growth,positive,05-12
140923,CM1E1,"HAMBI 3625, LMG 28671, CCBAU 101092",1,1,"Kocuria arsenatis",Kocuria,growth,positive,4-11
7665,P30,"DSM 23883, JCM 15914, KCTC 19594",1,1,"Kocuria atrinae",Kocuria,growth,positive,07-09
159437,,"DSM 27811, SCSIO 13007, NBRC 109942",1,1,"Kocuria coralli",Kocuria,growth,positive,5.0-9.0
7662,HO-9041,"DSM 22142, CCTCC AB 206106, KCTC 19306, JCM 15621, NBRC 107626",1,1,"Kocuria flava",Kocuria,growth,positive,07-09
7659,K07-05,"DSM 44905, JCM 13326, MTCC 7020, CCUG 56039, CIP 109344, NCIMB 14351",1,1,"Kocuria himachalensis",Kocuria,growth,positive,6.5-10
133058,FXJ8.095,"DSM 24949, CGMCC 4.6946",1,1,"Kocuria oceani",Kocuria,growth,positive,6-10
141150,Hv14b,"DSM 28714, CECT 9229",1,1,"Kocuria salina",Kocuria,growth,positive,7.0-11.0
7666,104,"DSM 24776, JCM 16361, KACC 21128, NBRC 109970",1,1,"Kocuria salsicia",Kocuria,growth,positive,06-09
166538,M5W7-7,"KCTC 49195, CGMCC 1.13744",1,1,"Kocuria soli",Kocuria,growth,positive,6.0-11.0
7663,HO-9042,"DSM 22143, CCTCC AB 206107, KCTC 19307, JCM 15622, NBRC 107627",1,1,"Kocuria turfanensis",Kocuria,growth,positive,6.5-9
159749,WE7,"CGMCC 1.15338, JCM 31140",1,1,"Komagataeibacter cocois",Komagataeibacter,growth,positive,3-6.5
45,G5-1,"DSM 24098, JCM 25156, LMG 26206, NRIC 0798, BCRC 80743",1,1,"Komagataeibacter kakiaceti",Komagataeibacter,growth,positive,3.5-8
133649,OT-1,"KCTC 8814P, NBRC 1000336",1,1,"Kordia algicida",Kordia,growth,positive,6-10
134041,,"KCTC 32292, NBRC 109401, IMCC 3317",1,1,"Kordia antarctica",Kordia,growth,positive,6.0-9.0
134074,CC-AMZ-301,"JCM 18556, BCRC 80464",1,1,"Kordia aquimaris",Kordia,growth,positive,6.0-8.0
140820,,"KCTC 42872, MCCC 1A01772, LMG 29123, SC 2",1,1,"Kordia ulvae",Kordia,growth,positive,7-9
158674,ZO2-23,"KCTC 52268, JCM 31799",1,1,"Kordia zosterae",Kordia,growth,positive,6-9
133812,101-1,"KACC 16184, JCM 17742",1,1,"Kordiimonas aestuarii",Kordiimonas,growth,positive,05-08
133810,,"KCCM 42940, JCM 16665, MEBiC 06554",1,1,"Kordiimonas aquimaris",Kordiimonas,growth,positive,05-08
17858,GW14-5,"DSM 19435, CIP 109032, JCM 12864, KCCM 42021",1,1,"Kordiimonas gwangyangensis",Kordiimonas,growth,positive,6.0-8.5
17859,S3-22,"DSM 23258, CGMCC 1.9109, JCM 16261",1,1,"Kordiimonas lacus",Kordiimonas,growth,positive,06-09
140838,M41,"CGMCC 1.15304, JCM 30877",1,1,"Kordiimonas lipolytica",Kordiimonas,growth,positive,5.5-9.5
158811,N18,"MCCC 1K03436, KCTC 62164",1,1,"Kordiimonas pumila",Kordiimonas,growth,positive,6.0-8.0
4383,Ah-143,"DSM 25165, KCTC 22375, LMG 26131, NCIMB 14469, CCUG 66539, CIP 110809",1,1,"Kosakonia arachidis",Kosakonia,growth,positive,04-10
133472,,"LMG 24251, CGMCC 1.7012, Ola 51",1,1,"Kosakonia oryzae",Kosakonia,growth,positive,3.5-10
164525,"GDMCC1.1570, WCHEs120001","JCM 33347, GDMCC 1.1570, NCTC 14272",1,1,"Kosakonia quasisacchari",Kosakonia,growth,positive,5.0-10.0
130318,SP1,"DSM 100203, CGMCC 1.12102, LMG 26783, CIP 110705",1,1,"Kosakonia sacchari",Kosakonia,growth,positive,04-10
17071,,"DSM 21960, ATCC BAA-1733, TBF 19.5.1",1,1,"Kosmotoga olearia",Kosmotoga,growth,positive,5.5-8.0
17073,2SM-2,"DSM 22460, ACCC 00496",1,1,"Kosmotoga shengliensis",Kosmotoga,growth,positive,06-08
58,YO-3,"DSM 14400, IFO 16664, JCM 11301, NBRC 16664, NRIC 0488, CCUG 48823, CCM 7137, NCIMB 14242",1,1,"Kozakia baliensis",Kozakia,growth,positive,3
12605,,"DSM 21481, CCTCC AA 208024, JCM 16551, CC 0387",1,1,"Krasilnikoviella flava",Krasilnikoviella,growth,positive,5.5-10.5
133327,T6220-5-2b,"JCM 28789, NCIMB 15040, DSM 111259",1,1,"Krasilnikoviella muralis",Krasilnikoviella,growth,positive,5.5-10.5
24247,,"DSM 26744, JCM 30547, NRRL B-24917, BC 640",1,1,"Kribbella albertanoniae",Kribbella,growth,positive,4.3-10
11079,,"DSM 18824, JCM 14599, HKI 0478, CIP 109731, NBRC 104151",1,1,"Kribbella aluminosa",Kribbella,growth,positive,05-08
11083,,"DSM 24683, NBRC 107914, XMU 198",1,1,"Kribbella amoyensis",Kribbella,growth,positive,06-08
166299,,"DSM 29426, NRRL B-65062, YM 53",1,1,"Kribbella capetownensis",Kribbella,growth,positive,7-10
11081,,"DSM 19601, JCM 14968, BC 631, NBRC 105864",1,1,"Kribbella catacumbae",Kribbella,growth,positive,05-10
133358,SL15-1,"CGMCC 1.15906, KCTC 39825",1,1,"Kribbella deserti",Kribbella,growth,positive,6.0-8.0
23163,,"DSM 23718, JCM 30548, NRRL B-24812, PIP 118",1,1,"Kribbella endophytica",Kribbella,growth,positive,05-10
11078,,"DSM 17941, KCTC 19134, CCUG 52477, Gsoil 001, JCM 16928, NBRC 107353",1,1,"Kribbella ginsengisoli",Kribbella,growth,positive,5.5-8.5
11080,S1.4T,"DSM 19227, JCM 15572, NRRL B-24553, NBRC 105866",1,1,"Kribbella hippodromi",Kribbella,growth,positive,05-09
11073,HD9,"DSM 17305, CIP 108509, JCM 12204, KACC 20266, NBRC 101070",1,1,"Kribbella jejuensis",Kribbella,growth,positive,7
157980,"NEAU-THZ 27","DSM 105535, CGMCC 4.7504, NEAU THZ 27",1,1,"Kribbella jiaozuonensis",Kribbella,growth,positive,5-9
11074,"Q 41, Q41","DSM 17344, CIP 109290, NBRC 101884, NRRL B-24425, JCM 14304, BCRC 16842",1,1,"Kribbella karoonensis",Kribbella,growth,positive,05-09
11071,LU14,"DSM 16683, CIP 109212, LMG 22957, NBRC 101883, JCM 14303, BCRC 16829, NCIMB 14381",1,1,"Kribbella lupini",Kribbella,growth,positive,06-09
158430,NEAU-SW521,"DSM 105770, CGMCC 4.7465",1,1,"Kribbella monticola",Kribbella,growth,positive,5-9
132535,,"DSM 23717, NRRL B-24813, PIP 158",1,1,"Kribbella pittospori",Kribbella,growth,positive,6-10
11082,,"DSM 19602, JCM 14969, BC 633, NBRC 105865",1,1,"Kribbella sancticallisti",Kribbella,growth,positive,05-10
11072,DSA1,"DSM 17294, CIP 108508, JCM 12205, KACC 20196, NBRC 101071",1,1,"Kribbella solani",Kribbella,growth,positive,7
166300,,"DSM 29425, NRRL B-59161, YM 55",1,1,"Kribbella speibonae",Kribbella,growth,positive,4.3-10
11075,HMC25,"DSM 17345, CIP 109291, NBRC 101885, NRRL B-24426, JCM 14305, BCRC 16843",1,1,"Kribbella swartbergensis",Kribbella,growth,positive,07-09
164414,16K104,"JCM 32914, KCTC 49224",1,1,"Kribbella turkmenica",Kribbella,growth,positive,5.0-10.0
5738,,"DSM 19886, KCTC 22188, KMM 3665, JCM 11734, CECT 7617",1,1,"Kriegella aquimaris",Kriegella,growth,positive,7
134014,GD02,"CGMCC 1.12404, KCTC 29149",1,1,"Kroppenstedtia guangzhouensis",Kroppenstedtia,growth,positive,5.5-9.5
17649,SOSP1-21,"DSM 44963",1,1,"Ktedonobacter racemifer",Ktedonobacter,growth,positive,4.8-6.8
159311,SCAWS-G2,"DSM 105258, CGMCC 1.16132",1,1,"Ktedonosporobacter rubrisoli",Ktedonosporobacter,growth,positive,4.0-7.0
6084,A10,"DSM 21353, CCM 7415, CECT 7220, JCM 18992, JCM 15469",1,1,"Kushneria aurantia",Kushneria,growth,positive,5.5-8.5
